2019-06-07 21:27:14,047 - DEBUG - {'total': 64384004096, 'available': 61646135296, 'percent': 4.3, 'used': 2126397440, 'free': 61460725760, 'active': 1946374144, 'inactive': 646647808, 'buffers': 34668544, 'cached': 762212352, 'shared': 6365184, 'slab': 59305984}
2019-06-07 21:27:51,365 - DEBUG - {'total': 64384004096, 'available': 61646802944, 'percent': 4.3, 'used': 2125672448, 'free': 61461196800, 'active': 1946398720, 'inactive': 646815744, 'buffers': 34684928, 'cached': 762449920, 'shared': 6365184, 'slab': 58707968}
2019-06-07 21:28:07,001 - DEBUG - {'total': 64384004096, 'available': 61646557184, 'percent': 4.3, 'used': 2125926400, 'free': 61460750336, 'active': 1946406912, 'inactive': 647004160, 'buffers': 34701312, 'cached': 762626048, 'shared': 6365184, 'slab': 58961920}
2019-06-07 21:28:26,326 - DEBUG - {'total': 64384004096, 'available': 61646016512, 'percent': 4.3, 'used': 2126458880, 'free': 61460029440, 'active': 1946451968, 'inactive': 647172096, 'buffers': 34709504, 'cached': 762806272, 'shared': 6365184, 'slab': 59711488}
2019-06-07 21:28:49,532 - DEBUG - {'total': 64384004096, 'available': 61646450688, 'percent': 4.3, 'used': 2126041088, 'free': 61460176896, 'active': 1946505216, 'inactive': 647421952, 'buffers': 34725888, 'cached': 763060224, 'shared': 6365184, 'slab': 59273216}
2019-06-07 21:29:07,679 - DEBUG - {'total': 64384004096, 'available': 61646659584, 'percent': 4.3, 'used': 2125811712, 'free': 61460209664, 'active': 1946529792, 'inactive': 647581696, 'buffers': 34742272, 'cached': 763240448, 'shared': 6365184, 'slab': 59260928}
2019-06-07 21:29:25,982 - DEBUG - {'total': 64384004096, 'available': 61646942208, 'percent': 4.3, 'used': 2125479936, 'free': 61460320256, 'active': 1946529792, 'inactive': 647753728, 'buffers': 34758656, 'cached': 763445248, 'shared': 6365184, 'slab': 58867712}
2019-06-07 21:29:39,118 - DEBUG - {'total': 64384004096, 'available': 61647114240, 'percent': 4.3, 'used': 2125316096, 'free': 61460299776, 'active': 1946537984, 'inactive': 647938048, 'buffers': 34775040, 'cached': 763613184, 'shared': 6365184, 'slab': 58867712}
2019-06-07 21:30:16,164 - DEBUG - {'total': 64384004096, 'available': 61644443648, 'percent': 4.3, 'used': 2127986688, 'free': 61457330176, 'active': 1946607616, 'inactive': 648155136, 'buffers': 34803712, 'cached': 763883520, 'shared': 6365184, 'slab': 61235200}
2019-06-07 21:30:54,393 - DEBUG - {'total': 64384004096, 'available': 61644328960, 'percent': 4.3, 'used': 2128130048, 'free': 61456965632, 'active': 1946619904, 'inactive': 648384512, 'buffers': 34820096, 'cached': 764088320, 'shared': 6365184, 'slab': 61489152}
