2019-06-07 11:50:35,468 - DEBUG - {'total': 64384004096, 'available': 58525855744, 'percent': 9.1, 'used': 5209653248, 'free': 58089582592, 'active': 5651791872, 'inactive': 301887488, 'buffers': 198074368, 'cached': 886693888, 'shared': 69632, 'slab': 137494528}
2019-06-07 11:53:23,616 - DEBUG - {'total': 64384004096, 'available': 58526121984, 'percent': 9.1, 'used': 5209358336, 'free': 58088898560, 'active': 5651935232, 'inactive': 302702592, 'buffers': 198144000, 'cached': 887603200, 'shared': 69632, 'slab': 137519104}
2019-06-07 12:01:07,435 - DEBUG - {'total': 64384004096, 'available': 58525896704, 'percent': 9.1, 'used': 5209583616, 'free': 58088325120, 'active': 5652127744, 'inactive': 302891008, 'buffers': 198311936, 'cached': 887783424, 'shared': 69632, 'slab': 137572352}
2019-06-07 12:09:31,462 - DEBUG - {'total': 64384004096, 'available': 58525843456, 'percent': 9.1, 'used': 5209628672, 'free': 58087890944, 'active': 5652586496, 'inactive': 302747648, 'buffers': 198488064, 'cached': 887996416, 'shared': 69632, 'slab': 137732096}
2019-06-07 12:19:23,437 - DEBUG - {'total': 64384004096, 'available': 58507898880, 'percent': 9.1, 'used': 5212958720, 'free': 56462716928, 'active': 5690212352, 'inactive': 1859678208, 'buffers': 201584640, 'cached': 2506743808, 'shared': 69632, 'slab': 167342080}
2019-06-07 12:30:05,330 - DEBUG - {'total': 64384004096, 'available': 58508013568, 'percent': 9.1, 'used': 5212839936, 'free': 56462589952, 'active': 5690761216, 'inactive': 1859559424, 'buffers': 201801728, 'cached': 2506772480, 'shared': 69632, 'slab': 167260160}
2019-06-07 12:39:18,710 - DEBUG - {'total': 64384004096, 'available': 58507960320, 'percent': 9.1, 'used': 5212884992, 'free': 56462344192, 'active': 5690925056, 'inactive': 1859432448, 'buffers': 201973760, 'cached': 2506801152, 'shared': 69632, 'slab': 167350272}
2019-06-07 12:49:23,684 - DEBUG - {'total': 64384004096, 'available': 58508972032, 'percent': 9.1, 'used': 5211877376, 'free': 56463122432, 'active': 5690966016, 'inactive': 1859289088, 'buffers': 202182656, 'cached': 2506821632, 'shared': 69632, 'slab': 167362560}
2019-06-07 12:59:54,597 - DEBUG - {'total': 64384004096, 'available': 58508038144, 'percent': 9.1, 'used': 5212807168, 'free': 56461971456, 'active': 5691858944, 'inactive': 1859059712, 'buffers': 202387456, 'cached': 2506838016, 'shared': 69632, 'slab': 167194624}
2019-06-07 13:04:00,604 - DEBUG - {'total': 64384004096, 'available': 58508165120, 'percent': 9.1, 'used': 5212676096, 'free': 56461996032, 'active': 5691834368, 'inactive': 1858981888, 'buffers': 202473472, 'cached': 2506858496, 'shared': 69632, 'slab': 167174144}
